policy_entropy,fps,total_timesteps,value_loss,explained_variance,nupdates
0.9093405604362488,1369,9256000,0.7287459969520569,-0.08641552925109863,115700
0.9257562756538391,1369,9264000,0.027323449030518532,0.9167843833565712,115800
0.8278365135192871,1369,9272000,0.013203613460063934,0.9592376910150051,115900
0.9815092086791992,1369,9280000,0.025603050366044044,0.9047556892037392,116000
0.9621613621711731,1370,9288000,0.018310334533452988,0.9049487709999084,116100
0.9645470380783081,1370,9296000,0.017310302704572678,0.8642041385173798,116200
0.8527359962463379,1370,9304000,0.03297331929206848,0.9213202446699142,116300
1.0032316446304321,1370,9312000,0.015135066583752632,0.9198332726955414,116400
1.0058515071868896,1370,9320000,0.007731483783572912,0.9263141453266144,116500
0.9796620607376099,1370,9328000,0.02409222349524498,0.8872387930750847,116600
0.8591667413711548,1370,9336000,0.044249989092350006,0.9401710219681263,116700
0.9799779057502747,1370,9344000,0.07512062042951584,0.7009842991828918,116800
1.0232703685760498,1370,9352000,0.03008665144443512,0.8591339439153671,116900
1.034493327140808,1371,9360000,0.03790251165628433,0.9551050774753094,117000
0.8891897201538086,1371,9368000,0.667892575263977,0.5357723832130432,117100
0.9680620431900024,1371,9376000,0.01794726774096489,0.9385094754397869,117200
0.8801081776618958,1371,9384000,0.01097936276346445,0.9531213007867336,117300
0.9335752725601196,1371,9392000,0.3736329674720764,0.5680212378501892,117400
0.9538015127182007,1371,9400000,0.5731164216995239,0.2072736620903015,117500
0.9661491513252258,1371,9408000,0.011799827218055725,0.935041569173336,117600
0.9703539609909058,1371,9416000,0.3840062618255615,0.6141079664230347,117700
1.0062370300292969,1371,9424000,0.06790327280759811,0.8448598235845566,117800
0.9683648347854614,1371,9432000,0.008489824831485748,0.9215462133288383,117900
0.9685379266738892,1372,9440000,0.006271818187087774,0.9629314057528973,118000
0.9143646955490112,1372,9448000,0.022736530750989914,0.9054464399814606,118100
0.9732780456542969,1372,9456000,0.24644669890403748,0.53921177983284,118200
0.987573504447937,1372,9464000,0.014441026374697685,0.966562706977129,118300
0.9394155740737915,1372,9472000,0.1669873148202896,0.6070965528488159,118400
0.9018787145614624,1372,9480000,0.23966734111309052,0.8640426397323608,118500
0.9827665090560913,1372,9488000,0.09348241984844208,0.8653586059808731,118600
0.845179557800293,1372,9496000,0.01192935835570097,0.9661998823285103,118700
0.9468756914138794,1372,9504000,0.03302321583032608,0.9589495062828064,118800
0.9379297494888306,1372,9512000,0.017870664596557617,0.9379883743822575,118900
0.9721857905387878,1373,9520000,0.5131998658180237,0.7212748527526855,119000
1.02860426902771,1373,9528000,0.111717090010643,0.7458080649375916,119100
0.8777772784233093,1373,9536000,0.03626897558569908,0.9341544657945633,119200
0.9697286486625671,1373,9544000,0.009250646457076073,0.9701245408505201,119300
0.9741724133491516,1373,9552000,0.17943504452705383,0.6586037278175354,119400
0.9567514657974243,1373,9560000,0.06570910662412643,0.8802027106285095,119500
0.8639880418777466,1373,9568000,0.014199592173099518,0.9650540612637997,119600
0.9997125864028931,1373,9576000,0.016868557780981064,0.9314403459429741,119700
0.998633086681366,1373,9584000,0.013662898913025856,0.9654632396996021,119800
0.9314715266227722,1373,9592000,0.015246900729835033,0.9677223600447178,119900
0.9037628173828125,1374,9600000,0.015514418482780457,0.9445751495659351,120000
0.9765365719795227,1374,9608000,0.27164575457572937,0.5385333895683289,120100
0.967664897441864,1374,9616000,0.019230971112847328,0.9828538931906223,120200
0.9399546384811401,1374,9624000,0.3525323271751404,0.18185299634933472,120300
0.8807916641235352,1374,9632000,0.46019259095191956,-0.07449102401733398,120400
0.9380154609680176,1374,9640000,0.020270729437470436,0.9440211467444897,120500
0.9548959732055664,1374,9648000,0.13318072259426117,0.6021499335765839,120600
0.8449139595031738,1374,9656000,0.43941038846969604,0.548772931098938,120700
0.9490459561347961,1374,9664000,0.03034677729010582,0.8919130116701126,120800
0.9973154067993164,1374,9672000,0.2033255398273468,0.7278327941894531,120900
0.9982603192329407,1375,9680000,0.2600540816783905,0.6087876856327057,121000
0.9624115228652954,1375,9688000,0.01855744794011116,0.9570389427244663,121100
0.8836617469787598,1375,9696000,0.39142900705337524,0.10579264163970947,121200
