nupdates,total_timesteps,explained_variance,value_loss,fps,policy_entropy
17100,1368000,0.9593247473239899,0.005300777964293957,1068,1.3591506481170654
17200,1376000,0.903548039495945,0.006829000078141689,1069,1.3664872646331787
17300,1384000,0.9545305855572224,0.0053060175850987434,1070,1.3746068477630615
17400,1392000,0.7791455537080765,0.027019929140806198,1071,1.3699289560317993
17500,1400000,0.9103030487895012,0.0095368642359972,1072,1.369938850402832
17600,1408000,0.8574932962656021,0.021647855639457703,1074,1.3662627935409546
17700,1416000,0.9561448805034161,0.002882088301703334,1075,1.3693225383758545
17800,1424000,0.8134191334247589,0.03472517430782318,1076,1.3648561239242554
17900,1432000,0.8865916505455971,0.009737012907862663,1077,1.3683792352676392
18000,1440000,0.8949854820966721,0.016196131706237793,1078,1.3672893047332764
18100,1448000,0.8971268087625504,0.010560083203017712,1079,1.3804185390472412
18200,1456000,0.9722725804895163,0.0033681474160403013,1080,1.373039960861206
18300,1464000,0.5830493569374084,0.02325683832168579,1081,1.357725739479065
18400,1472000,0.9066258370876312,0.007067904807627201,1082,1.3713949918746948
18500,1480000,0.9851806834340096,0.001537636504508555,1083,1.355991005897522
18600,1488000,0.9537804946303368,0.0025786706246435642,1084,1.3694212436676025
18700,1496000,0.9767531137913465,0.002154456451535225,1085,1.374044418334961
18800,1504000,0.9354060590267181,0.0050430502742528915,1086,1.3739184141159058
18900,1512000,0.9531536400318146,0.006717411335557699,1087,1.3538382053375244
19000,1520000,0.7899262756109238,0.017132168635725975,1088,1.3690398931503296
19100,1528000,0.9612181931734085,0.002496858360245824,1089,1.3722763061523438
19200,1536000,0.9768867939710617,0.0026521049439907074,1090,1.3694003820419312
19300,1544000,0.6520120203495026,0.038810186088085175,1091,1.3567121028900146
19400,1552000,0.9413485638797283,0.005942522548139095,1092,1.368591547012329
19500,1560000,0.9716826323419809,0.004017203114926815,1093,1.3440332412719727
19600,1568000,0.9059435278177261,0.006506959442049265,1094,1.3719655275344849
19700,1576000,0.9262504503130913,0.004879623651504517,1095,1.3685754537582397
19800,1584000,0.9430099688470364,0.0035230740904808044,1095,1.3621817827224731
19900,1592000,0.9055972993373871,0.01202169805765152,1096,1.3778784275054932
20000,1600000,0.8768605068325996,0.011236335150897503,1097,1.3701072931289673
20100,1608000,0.9217040315270424,0.00977739505469799,1098,1.355672836303711
20200,1616000,0.9220171868801117,0.008326509036123753,1099,1.3418245315551758
20300,1624000,0.9787439703941345,0.0025001107715070248,1100,1.3722482919692993
20400,1632000,0.9826849456876516,0.002843219321221113,1101,1.3541924953460693
20500,1640000,0.943914394825697,0.006894217338413,1102,1.3606996536254883
20600,1648000,0.9396730251610279,0.008471189066767693,1103,1.3608027696609497
20700,1656000,0.9895492633804679,0.0011303065111860633,1104,1.347285270690918
20800,1664000,0.8775170221924782,0.014767689630389214,1104,1.3582748174667358
20900,1672000,0.8865563422441483,0.009542139247059822,1105,1.348059058189392
21000,1680000,0.9081288874149323,0.012685639783740044,1106,1.3525991439819336
21100,1688000,0.9259561896324158,0.002763227792456746,1107,1.3649628162384033
21200,1696000,0.9197096303105354,0.010352978482842445,1108,1.3301441669464111
21300,1704000,0.9135219752788544,0.014581573195755482,1109,1.3284013271331787
21400,1712000,0.8918759897351265,0.01781110092997551,1110,1.3413565158843994
21500,1720000,0.9629691727459431,0.0037918698508292437,1110,1.3456571102142334
21600,1728000,0.9685137681663036,0.0038875851314514875,1111,1.3470054864883423
21700,1736000,0.7210888564586639,0.015139080584049225,1112,1.355324149131775
21800,1744000,0.9202019721269608,0.008650715462863445,1113,1.3471139669418335
21900,1752000,0.7745314538478851,0.03262748941779137,1114,1.3260008096694946
22000,1760000,0.8941511884331703,0.013199836015701294,1115,1.3406550884246826
22100,1768000,0.908214695751667,0.009038528427481651,1115,1.352673888206482
22200,1776000,0.8715222775936127,0.013652777299284935,1116,1.3382337093353271
22300,1784000,0.9415731355547905,0.009104715660214424,1117,1.341452717781067
22400,1792000,0.9393234923481941,0.008090018294751644,1118,1.355722427368164
22500,1800000,0.9215101599693298,0.008113869465887547,1119,1.3575363159179688
22600,1808000,0.9333025515079498,0.007794412784278393,1119,1.3267443180084229
22700,1816000,0.9038343131542206,0.00568696204572916,1120,1.3512558937072754
22800,1824000,0.9075854644179344,0.006284141447395086,1121,1.338391661643982
22900,1832000,0.9265895783901215,0.012326118536293507,1122,1.3420867919921875
23000,1840000,0.9633044451475143,0.004304251633584499,1123,1.330202341079712
23100,1848000,0.9513334594666958,0.004398838616907597,1123,1.339560866355896
23200,1856000,0.9429327435791492,0.006164086051285267,1124,1.319457769393921
23300,1864000,0.7260547876358032,0.023974444717168808,1125,1.328253984451294
23400,1872000,0.8083742558956146,0.01577669009566307,1126,1.3234118223190308
23500,1880000,0.9579623900353909,0.005961610469967127,1126,1.3491008281707764
23600,1888000,0.8352587670087814,0.025282401591539383,1127,1.3148925304412842
23700,1896000,0.8506709933280945,0.01908765360713005,1128,1.3233957290649414
23800,1904000,0.8492401540279388,0.012910274788737297,1129,1.3540518283843994
23900,1912000,0.951445922255516,0.004203373100608587,1129,1.3572919368743896
24000,1920000,0.7791181057691574,0.021546589210629463,1130,1.341897964477539
24100,1928000,0.8253939598798752,0.011644058860838413,1131,1.3600345849990845
24200,1936000,0.8786249831318855,0.012139255180954933,1132,1.3363866806030273
24300,1944000,0.909709058701992,0.011196332052350044,1132,1.3374155759811401
24400,1952000,0.8785861507058144,0.014451439492404461,1133,1.3448798656463623
24500,1960000,0.92381501942873,0.007695927284657955,1133,1.3164461851119995
24600,1968000,0.950600765645504,0.00311726750805974,1134,1.313412070274353
24700,1976000,0.8814470916986465,0.016717711463570595,1135,1.2996381521224976
24800,1984000,0.9352332502603531,0.0062486412934958935,1135,1.332898736000061
24900,1992000,0.8474130630493164,0.02272026427090168,1136,1.3304989337921143
25000,2000000,0.7095446586608887,0.02502315305173397,1137,1.3175891637802124
25100,2008000,0.9601485058665276,0.002209892962127924,1137,1.2715080976486206
25200,2016000,0.7619154006242752,0.02299015037715435,1138,1.3419859409332275
25300,2024000,0.926584467291832,0.005643860436975956,1139,1.303396463394165
25400,2032000,0.9132416248321533,0.0034667677246034145,1139,1.3287122249603271
25500,2040000,0.9461916014552116,0.005823598243296146,1140,1.3350528478622437
25600,2048000,0.9081287607550621,0.005013995338231325,1141,1.2785024642944336
