total_timesteps,avg_norm_grads_f,loss,avg_norm_g,norm_grads_policy,avg_norm_k_dot_g,avg_norm_adj,loss_policy,loss_bc,fps,loss_q,loss_f,norm_grads_q,avg_norm_k,explained_variance,mean_episode_reward,mean_episode_length,norm_grads,entropy
1792000,1.386406660079956,0.07988425344228745,1.4763801097869873,0.2879987061023712,1.7369978427886963,0.10720690339803696,0.04180332273244858,,705,0.09755301475524902,0.04180332273244858,0.349504292011261,2.2192554473876953,0.3888152241706848,2.35,107.45,0.4333322048187256,1.0695576667785645
1824000,1.4826085567474365,0.1252819001674652,1.5404411554336548,0.20706406235694885,1.6055351495742798,0.09900747239589691,0.1056671142578125,,706,0.060381930321455,0.1056671142578125,0.38646066188812256,1.982630729675293,0.22861260175704956,2.675,119.875,0.4257184565067291,1.057617425918579
1856000,0.8729581832885742,-0.11517107486724854,0.9319616556167603,0.3378560543060303,0.9360041618347168,0.09023569524288177,-0.15358705818653107,,707,0.09713874757289886,-0.15358705818653107,0.4464404582977295,2.14688777923584,0.5399291515350342,3.05,136.25,0.5844849348068237,1.0153393745422363
1888000,0.8604273796081543,0.11274299770593643,0.8749951124191284,0.17258712649345398,0.8439334034919739,0.022943861782550812,0.09806089103221893,,707,0.04941631108522415,0.09806089103221893,0.31431686878204346,2.055691719055176,0.5827605724334717,2.325,111.025,0.3416333794593811,1.0026047229766846
1920000,1.0045158863067627,0.12050119787454605,1.025790810585022,0.18975181877613068,1.0622509717941284,0.03306577354669571,0.10576234012842178,,708,0.050378359854221344,0.10576234012842178,0.45385485887527466,2.0689921379089355,0.7278338670730591,2.75,125.475,0.5163235664367676,1.0450327396392822
1952000,0.7474451065063477,-0.09455032646656036,0.7874310612678528,0.181601881980896,0.7895162105560303,0.05076460912823677,-0.10812143981456757,,709,0.05026568844914436,-0.10812143981456757,0.3361789584159851,2.0512821674346924,0.6554229259490967,2.825,130.525,0.4087426960468292,1.1561729907989502
1984000,0.9481183290481567,0.05797369033098221,1.0570520162582397,0.24130211770534515,2.8848795890808105,0.026789138093590736,0.041915737092494965,,710,0.05428747087717056,0.041915737092494965,0.22221213579177856,3.092728853225708,0.7089208364486694,3.225,140.625,0.3561156392097473,1.1085784435272217
2016000,0.7643947601318359,-0.01505958754569292,0.8079878687858582,0.2764143943786621,0.9046630859375,0.053436279296875,-0.029520783573389053,,711,0.049449287354946136,-0.029520783573389053,0.1472514569759369,2.381314516067505,0.7236142158508301,3.2,141.425,0.32496559619903564,1.0263447761535645
2048000,0.9202332496643066,0.0032184766605496407,0.9579874873161316,0.204600527882576,0.9463992118835449,0.04796016216278076,-0.01512462180107832,,711,0.05823453143239021,-0.01512462180107832,0.17716073989868164,2.078427791595459,0.5116691589355469,3.15,137.775,0.298989862203598,1.0774167776107788
2080000,1.1357368230819702,-0.037845008075237274,1.188338279724121,0.31544944643974304,1.1652793884277344,0.08269613236188889,-0.061809152364730835,,712,0.06988273561000824,-0.061809152364730835,0.2637360692024231,1.9785770177841187,0.4450531601905823,2.95,130.55,0.46583282947540283,1.0977222919464111
2112000,1.3200865983963013,0.022922057658433914,1.4094711542129517,0.29719677567481995,1.4647133350372314,0.12532280385494232,-0.041647765785455704,,713,0.15019270777702332,-0.041647765785455704,0.3366779088973999,2.2004692554473877,0.3306542634963989,3.225,144.35,0.4396301805973053,1.052653193473816
2144000,1.0994459390640259,-0.02976972982287407,1.1597545146942139,0.2638718783855438,1.0985164642333984,0.099378302693367,-0.06474456191062927,,713,0.09120830148458481,-0.06474456191062927,0.2098521888256073,1.9831342697143555,0.5527745485305786,3.575,151.325,0.3359944522380829,1.0629318952560425
2176000,1.2409523725509644,0.039704225957393646,1.308861494064331,0.147405743598938,1.1565759181976318,0.151637464761734,0.03151736408472061,,714,0.035787127912044525,0.03151736408472061,0.2840685546398163,1.9725418090820312,0.6830459833145142,3.225,135.725,0.30852046608924866,0.9706701040267944
2208000,0.9206036329269409,0.056054871529340744,0.9623281359672546,0.22789408266544342,0.9930227398872375,0.05293729156255722,0.04228348284959793,,715,0.048446476459503174,0.04228348284959793,0.4256294071674347,2.1201207637786865,0.14364135265350342,3.225,141.175,0.440034955739975,1.0451849699020386
2240000,1.1797281503677368,0.015652628615498543,1.249443769454956,0.285018652677536,1.2987884283065796,0.0955384150147438,-0.015624737367033958,,716,0.08436691761016846,-0.015624737367033958,0.23249134421348572,2.111790180206299,0.5539289712905884,3.85,158.5,0.4019409418106079,1.0906093120574951
2272000,6.865781784057617,0.0964478924870491,6.8774094581604,0.22431215643882751,26.02321434020996,0.014766079373657703,0.08381510525941849,,717,0.04513544216752052,0.08381510525941849,0.2844638526439667,2.3654897212982178,0.595946729183197,3.95,165.675,0.39031195640563965,0.993493378162384
2304000,0.976286768913269,0.195942223072052,0.9898151159286499,0.25579869747161865,0.9683435559272766,0.017789319157600403,0.17615576088428497,,718,0.060490913689136505,0.17615576088428497,0.4534567892551422,2.17684006690979,0.597221851348877,4.2,167.025,0.4653450846672058,1.0458991527557373
2336000,1.8508981466293335,-0.08468864113092422,2.1439645290374756,0.6296724081039429,8.765026092529297,0.0786142349243164,-0.14340415596961975,,718,0.13775083422660828,-0.14340415596961975,0.8373008966445923,7.798645973205566,0.4655628204345703,4.35,170.25,1.3280805349349976,1.0159900188446045
2368000,0.9690967202186584,-0.05045124888420105,1.0122368335723877,0.5583933591842651,1.0377914905548096,0.061112821102142334,-0.08258720487356186,,719,0.08537080138921738,-0.08258720487356186,0.32904377579689026,2.0471458435058594,0.6016601324081421,4.25,170.275,0.607541024684906,1.054944396018982
2400000,1.1552118062973022,-0.023366201668977737,1.2099888324737549,0.5011709928512573,1.2602007389068604,0.069295234978199,-0.0924784317612648,,720,0.15743649005889893,-0.0924784317612648,0.4867481291294098,2.479628086090088,0.29791438579559326,4.325,178.05,0.711104154586792,0.9606014490127563
2432000,0.7668364644050598,0.11632674187421799,0.7760817408561707,0.14820396900177002,0.831947922706604,0.009176896885037422,0.09997148811817169,,721,0.05307582765817642,0.09997148811817169,0.23921659588813782,2.124337673187256,0.6060093641281128,4.2,168.15,0.2628970444202423,1.018265962600708
2464000,0.9233952164649963,-0.013159990310668945,0.9726341962814331,0.18864355981349945,0.9928131103515625,0.06688953936100006,-0.047909025102853775,,721,0.09061288088560104,-0.047909025102853775,0.2876950204372406,2.145131826400757,0.5683712959289551,5.1,207.3,0.3327029347419739,1.0557405948638916
2496000,1.0225365161895752,-0.10815917700529099,1.104871153831482,0.23650804162025452,1.193106770515442,0.10054876655340195,-0.16666623950004578,,722,0.13753804564476013,-0.16666623950004578,0.5824993848800659,2.2791125774383545,0.5243792533874512,4.625,176.725,0.6940779089927673,1.0261962413787842
