nupdates,explained_variance,value_loss,total_timesteps,policy_entropy,fps
103800,0.9810242597013712,0.01727631315588951,8304000,0.877177357673645,1297
103900,0.967172022908926,0.03819996118545532,8312000,0.9334818720817566,1297
104000,0.9778196904808283,0.013639772310853004,8320000,0.8911997079849243,1297
104100,0.9730453509837389,0.023316223174333572,8328000,0.8642826080322266,1297
104200,0.9612839221954346,0.008459074422717094,8336000,0.9724043011665344,1297
104300,0.8889701664447784,0.046912599354982376,8344000,0.881017804145813,1297
104400,0.9675405435264111,0.061164867132902145,8352000,0.9229599833488464,1298
104500,0.84804667532444,0.11568145453929901,8360000,0.8840287327766418,1298
104600,0.9834344144910574,0.018139515072107315,8368000,0.7921059727668762,1298
104700,0.9804344922304153,0.03310927376151085,8376000,0.8050883412361145,1298
104800,0.9803636092692614,0.05330429598689079,8384000,0.8517404794692993,1298
104900,0.36767327785491943,0.3989597260951996,8392000,0.9578759074211121,1298
105000,0.899790033698082,0.04136725142598152,8400000,0.7903716564178467,1298
105100,0.9531478583812714,0.047659486532211304,8408000,0.7704285383224487,1298
105200,0.8603785634040833,0.13735415041446686,8416000,0.9027022123336792,1298
105300,0.7792547643184662,0.05463062971830368,8424000,0.858254611492157,1298
105400,0.9861564785242081,0.009385797195136547,8432000,0.9480897188186646,1299
105500,0.9310347884893417,0.07667473703622818,8440000,0.8913849592208862,1299
105600,0.8120618462562561,0.3259357810020447,8448000,0.9185536503791809,1299
105700,0.9696674291044474,0.031644970178604126,8456000,0.796756386756897,1299
105800,0.9797035455703735,0.010912186466157436,8464000,0.9209979772567749,1299
105900,0.9470181465148926,0.05358468368649483,8472000,0.840445876121521,1299
106000,0.7301195561885834,0.34156328439712524,8480000,0.8160419464111328,1299
106100,0.9625055640935898,0.020946739241480827,8488000,0.883039116859436,1299
106200,0.8047452121973038,0.10528303682804108,8496000,0.9125000238418579,1299
106300,0.9726536944508553,0.19036228954792023,8504000,0.8071609735488892,1299
106400,0.9875236907973886,0.01948421634733677,8512000,0.9509260058403015,1300
106500,0.9704626593738794,0.044415321201086044,8520000,0.9862686395645142,1300
106600,0.9519153200089931,0.021470310166478157,8528000,0.9494467973709106,1300
106700,0.9689848907291889,0.04883895441889763,8536000,0.9126783609390259,1300
106800,0.9536257050931454,0.060634125024080276,8544000,0.9446575045585632,1300
106900,0.933312438428402,0.05563495308160782,8552000,0.8685013651847839,1300
107000,0.9849849687889218,0.018945548683404922,8560000,0.8859437704086304,1300
107100,0.8146397024393082,0.0704856663942337,8568000,0.9025108218193054,1300
107200,0.9636603072285652,0.03240696340799332,8576000,0.9075910449028015,1300
107300,0.9432851113379002,0.04616788774728775,8584000,1.0599342584609985,1300
107400,0.9613995999097824,0.05869700387120247,8592000,0.834868311882019,1301
107500,0.9402207732200623,0.060563307255506516,8600000,0.8122566342353821,1301
107600,0.9702420942485332,0.026364082470536232,8608000,0.9679420590400696,1301
107700,0.9734073467552662,0.04302794858813286,8616000,0.8056527376174927,1301
107800,0.9282290190458298,0.03940453380346298,8624000,0.9730198979377747,1301
107900,0.9310351312160492,0.12190176546573639,8632000,0.9034172892570496,1301
108000,0.9712797235697508,0.04257819056510925,8640000,0.811118483543396,1301
108100,0.9633294977247715,0.06567170470952988,8648000,0.8256096839904785,1301
108200,0.9642796814441681,0.013448050245642662,8656000,0.9565505981445312,1301
108300,0.7642871290445328,0.09367561340332031,8664000,0.8473345041275024,1301
108400,0.8405561447143555,0.1322355419397354,8672000,0.9370256662368774,1302
108500,0.9833859577775002,0.024446094408631325,8680000,0.8484746813774109,1302
108600,0.9738009087741375,0.022691402584314346,8688000,0.915845513343811,1302
108700,0.9601754993200302,0.02477683126926422,8696000,0.9172070622444153,1302
108800,0.909231998026371,0.1325538456439972,8704000,0.9026943445205688,1302
108900,0.8618776500225067,0.13081756234169006,8712000,0.8729893565177917,1302
109000,0.978208526968956,0.012407773174345493,8720000,0.9276752471923828,1302
109100,0.8994681984186172,0.019576318562030792,8728000,0.8321046829223633,1302
109200,0.9375895261764526,0.04341132566332817,8736000,0.8583208918571472,1302
109300,0.855567067861557,0.1263049840927124,8744000,0.7952165007591248,1302
109400,0.8879541531205177,0.26444727182388306,8752000,0.9062959551811218,1302
109500,0.9910633629187942,0.02226976864039898,8760000,0.8052548170089722,1303
