policy_entropy,explained_variance,fps,total_timesteps,nupdates,value_loss
1.3717639446258545,0.761662021279335,1006,2296000,28700,0.01395330298691988
1.3650438785552979,0.036600589752197266,1006,2304000,28800,0.04250616207718849
1.380839467048645,0.5571599304676056,1007,2312000,28900,0.06079753115773201
1.376548409461975,0.8300177305936813,1007,2320000,29000,0.002720396500080824
1.3812648057937622,-0.023845911026000977,1007,2328000,29100,0.010342507623136044
1.380378007888794,-0.22926318645477295,1008,2336000,29200,0.005684475880116224
1.3841743469238281,0.9203847572207451,1008,2344000,29300,0.00029445180553011596
1.3828446865081787,0.6880040764808655,1008,2352000,29400,0.01931403949856758
1.3719642162322998,0.5802237391471863,1009,2360000,29500,0.019233066588640213
1.3785011768341064,0.7452191412448883,1009,2368000,29600,0.019955817610025406
1.3832470178604126,0.6819877326488495,1009,2376000,29700,0.015540878288447857
1.382831335067749,0.08979052305221558,1010,2384000,29800,0.011967928148806095
1.3831356763839722,0.06902587413787842,1010,2392000,29900,0.0030272160656750202
1.3825597763061523,-0.00845801830291748,1010,2400000,30000,0.0066468073055148125
1.3809709548950195,0.5869584679603577,1011,2408000,30100,0.002233153907582164
1.380416989326477,0.4187665581703186,1011,2416000,30200,0.018970344215631485
1.3773696422576904,0.4957695007324219,1011,2424000,30300,0.022449467331171036
1.3822994232177734,0.519182026386261,1012,2432000,30400,0.03092029131948948
1.3811348676681519,0.465806782245636,1012,2440000,30500,0.020041894167661667
1.382982850074768,0.8687018305063248,1012,2448000,30600,0.00546055193990469
1.373347520828247,0.9563613645732403,1012,2456000,30700,0.002137427683919668
1.3818624019622803,0.7731558680534363,1013,2464000,30800,0.020742565393447876
1.3728383779525757,0.7069717943668365,1013,2472000,30900,0.0034392396919429302
1.3712902069091797,0.899180606007576,1013,2480000,31000,4.022608482046053e-05
1.367638349533081,0.12799370288848877,1014,2488000,31100,0.05598502233624458
1.3738377094268799,0.1314946413040161,1014,2496000,31200,0.03387070074677467
1.3778849840164185,0.20081007480621338,1014,2504000,31300,0.02489507384598255
1.3794236183166504,0.41104865074157715,1014,2512000,31400,0.0211977269500494
1.3804092407226562,0.3719845414161682,1015,2520000,31500,0.05833268165588379
1.3758134841918945,0.49227505922317505,1015,2528000,31600,0.018633222207427025
1.3817826509475708,0.5679137706756592,1015,2536000,31700,0.02634257636964321
1.38025963306427,0.5822360515594482,1015,2544000,31800,0.029619533568620682
1.3690950870513916,0.9259825497865677,1016,2552000,31900,0.0017454505432397127
1.3786851167678833,0.5407735705375671,1016,2560000,32000,0.0019688617903739214
1.3753197193145752,0.35678499937057495,1016,2568000,32100,0.04941938444972038
1.3806451559066772,0.711827278137207,1016,2576000,32200,0.010756956413388252
1.3818097114562988,0.7496312260627747,1016,2584000,32300,0.0024615272413939238
1.3764746189117432,0.47148358821868896,1017,2592000,32400,0.003299493808299303
1.380385160446167,0.4202044606208801,1017,2600000,32500,0.020085638388991356
1.3813190460205078,0.4397204518318176,1017,2608000,32600,0.03351983428001404
1.3837089538574219,0.855189859867096,1017,2616000,32700,0.0028966583777219057
1.376664400100708,0.24816179275512695,1018,2624000,32800,0.003783791558817029
1.3766061067581177,0.5205225646495819,1018,2632000,32900,0.025015991181135178
1.3725087642669678,0.2921338677406311,1018,2640000,33000,0.0415772944688797
1.383924126625061,0.20449644327163696,1018,2648000,33100,0.031857091933488846
1.3789951801300049,0.9267737716436386,1019,2656000,33200,0.0036380155943334103
1.3755605220794678,0.7779335975646973,1019,2664000,33300,0.0031380602158606052
1.377092957496643,0.6479785442352295,1019,2672000,33400,0.07401201874017715
1.3698265552520752,0.8386417925357819,1020,2680000,33500,0.011647743172943592
1.3677008152008057,0.7678324282169342,1020,2688000,33600,0.008820319548249245
1.3527467250823975,0.9453250356018543,1020,2696000,33700,0.008137229830026627
1.367527723312378,0.8849371075630188,1020,2704000,33800,0.008142199367284775
1.3604838848114014,0.9477807655930519,1021,2712000,33900,0.004885132424533367
1.3562577962875366,0.9407101273536682,1021,2720000,34000,0.0062317801639437675
1.3572546243667603,0.8219163417816162,1021,2728000,34100,0.008770477026700974
1.3529822826385498,0.8287946134805679,1022,2736000,34200,0.00419445987790823
1.335187315940857,0.9325514137744904,1022,2744000,34300,0.012449163943529129
1.3581584692001343,0.9453153349459171,1022,2752000,34400,0.003449895652011037
1.3642644882202148,0.6261940896511078,1022,2760000,34500,0.0337894931435585
1.3646328449249268,0.9498240165412426,1023,2768000,34600,0.003688068361952901
1.309575080871582,0.9459305480122566,1023,2776000,34700,0.0016438451129943132
1.3379476070404053,0.9419000670313835,1023,2784000,34800,0.00428298395127058
1.3274827003479004,0.969832681119442,1024,2792000,34900,0.0029260613955557346
1.350471019744873,0.8517764210700989,1024,2800000,35000,0.011438300833106041
1.316955804824829,0.8936641812324524,1024,2808000,35100,0.004107293672859669
1.346510887145996,0.8413861691951752,1024,2816000,35200,0.01630665361881256
1.3319671154022217,0.9125996604561806,1025,2824000,35300,0.010403675027191639
1.295904517173767,0.28826338052749634,1025,2832000,35400,0.009881383739411831
1.278738260269165,0.8840363100171089,1025,2840000,35500,0.003119336673989892
1.2908097505569458,0.5825214982032776,1026,2848000,35600,0.04584350436925888
1.332343339920044,0.9653365314006805,1026,2856000,35700,0.0023631774820387363
1.3464059829711914,0.8518430143594742,1026,2864000,35800,0.007011766079813242
1.333775281906128,0.9479372315108776,1026,2872000,35900,0.008351940661668777
1.157348871231079,0.753799557685852,1027,2880000,36000,0.012534970417618752
1.315687894821167,0.8719312250614166,1027,2888000,36100,0.004255284555256367
1.35955011844635,0.9261209219694138,1027,2896000,36200,0.009693202562630177
1.345360517501831,0.8668504655361176,1027,2904000,36300,0.00945492833852768
1.3308770656585693,0.8599006086587906,1028,2912000,36400,0.013462359085679054
1.3444851636886597,0.8389972150325775,1028,2920000,36500,0.005481203086674213
1.3088219165802002,0.9069138020277023,1028,2928000,36600,0.00897657498717308
1.2865439653396606,0.8456512242555618,1029,2936000,36700,0.011290954425930977
1.300339937210083,0.9711988903582096,1029,2944000,36800,0.001850615837611258
1.3198219537734985,0.9300942867994308,1029,2952000,36900,0.006774659268558025
1.3547403812408447,0.8293144851922989,1029,2960000,37000,0.01747989095747471
1.3021581172943115,0.8905681893229485,1030,2968000,37100,0.003330416977405548
1.2945082187652588,0.7949804812669754,1030,2976000,37200,0.017676489427685738
1.320849061012268,0.8416953831911087,1030,2984000,37300,0.015649225562810898
1.3548200130462646,0.7721748501062393,1031,2992000,37400,0.02920849248766899
