episodes,steps,mean 100 episode reward,% time spent exploring
34600,7153817,13.7,1
34700,7187328,13.4,1
34800,7222705,13.5,1
34900,7255111,13.4,1
35000,7291060,14.3,1
35100,7331117,15.6,1
35200,7360444,10.6,1
35300,7393114,12.6,1
35400,7421890,11.0,1
35500,7453580,11.6,1
35600,7482677,10.7,1
35700,7512225,11.3,1
35800,7542087,11.6,1
35900,7570684,10.0,1
36000,7600640,11.6,1
36100,7629298,10.2,1
36200,7659678,11.4,1
36300,7691066,11.8,1
36400,7725195,12.8,1
36500,7760346,13.7,1
36600,7784616,7.9,1
36700,7805257,6.6,1
36800,7842907,13.5,1
36900,7881899,14.1,1
37000,7911617,11.6,1
37100,7940056,11.1,1
37200,7963378,7.1,1
37300,7991200,10.7,1
37400,8021138,9.0,1
37500,8063871,14.3,1
37600,8101747,15.6,1
37700,8139567,14.8,1
37800,8168577,10.9,1
37900,8205151,13.4,1
38000,8241755,13.4,1
38100,8264650,9.2,1
38200,8304737,14.7,1
38300,8348077,15.1,1
38400,8394584,16.7,1
38500,8430114,15.2,1
38600,8465314,14.5,1
38700,8503822,15.8,1
38800,8541731,16.0,1
38900,8579832,16.6,1
39000,8619901,15.9,1
39100,8657739,14.2,1
39200,8704048,15.5,1
39300,8723037,6.1,1
39400,8761062,14.2,1
39500,8796486,13.7,1
39600,8835431,13.9,1
39700,8864151,9.8,1
39800,8901744,14.2,1
39900,8929520,7.7,1
40000,8966659,13.8,1
40100,8983254,6.0,1
40200,9019681,12.4,1
40300,9052777,12.8,1
40400,9086637,11.4,1
40500,9108283,8.3,1
40600,9151622,15.0,1
40700,9174762,8.3,1
40800,9218419,14.4,1
40900,9253906,13.4,1
41000,9284681,11.9,1
41100,9328094,13.4,1
41200,9360308,10.6,1
41300,9403440,14.7,1
41400,9438627,13.6,1
41500,9473255,14.3,1
41600,9517813,15.7,1
41700,9555564,12.1,1
41800,9579138,8.2,1
41900,9615224,14.4,1
42000,9661981,16.0,1
42100,9692023,11.5,1
42200,9728318,13.4,1
42300,9768785,10.6,1
42400,9806730,13.9,1
42500,9848737,13.8,1
42600,9886030,14.0,1
42700,9916684,9.6,1
42800,9949361,10.3,1
42900,9986324,11.8,1
